featureId,name,dateFrom,dateTo,sourceId
cshape-501-1902-05-15-1906-12-31-346,Kenya,1902-05-15,1906-12-31,cshapes-2-1
cshape-501-1907-01-01-1907-12-05-347,Kenya,1907-01-01,1907-12-05,cshapes-2-1
cshape-501-1907-12-06-1914-04-20-348,Kenya,1907-12-06,1914-04-20,cshapes-2-1
cshape-501-1914-04-21-1920-07-22-349,Kenya,1914-04-21,1920-07-22,cshapes-2-1
cshape-501-1920-07-23-1924-06-30-350,Kenya,1920-07-23,1924-06-30,cshapes-2-1
cshape-501-1924-07-01-1926-09-26-351,Kenya,1924-07-01,1926-09-26,cshapes-2-1
cshape-501-1926-09-27-1963-12-11-352,Kenya,1926-09-27,1963-12-11,cshapes-2-1
cshape-501-1963-12-12-2023-12-31-353,Kenya,1963-12-12,2023-12-31,cshapes-2-1
cshape-4781-1886-01-01-1906-02-15-679,Lagos,1886-01-01,1906-02-15,cshapes-2-1
cshape-570-1886-01-01-1966-10-03-418,Lesotho,1886-01-01,1966-10-03,cshapes-2-1
cshape-570-1966-10-04-2023-12-31-419,Lesotho,1966-10-04,2023-12-31,cshapes-2-1
cshape-450-1886-01-01-1892-12-07-272,Liberia,1886-01-01,1892-12-07,cshapes-2-1
cshape-450-1892-12-08-2023-12-31-273,Liberia,1892-12-08,2023-12-31,cshapes-2-1
cshape-620-1912-10-18-1919-09-11-459,Libya,1912-10-18,1919-09-11,cshapes-2-1
cshape-620-1919-09-12-1925-12-05-460,Libya,1919-09-12,1925-12-05,cshapes-2-1
cshape-620-1925-12-06-1934-07-19-461,Libya,1925-12-06,1934-07-19,cshapes-2-1
cshape-620-1934-07-20-1943-05-12-462,Libya,1934-07-20,1943-05-12,cshapes-2-1
cshape-620-1943-05-13-1949-11-20-463,Libya,1943-05-13,1949-11-20,cshapes-2-1
cshape-620-1949-11-21-1951-12-23-464,Libya,1949-11-21,1951-12-23,cshapes-2-1
cshape-620-1951-12-24-2023-12-31-465,Libya,1951-12-24,2023-12-31,cshapes-2-1
cshape-580-1886-01-01-1896-08-05-427,Madagascar (Malagasy),1886-01-01,1896-08-05,cshapes-2-1
cshape-580-1896-08-06-1912-07-24-428,Madagascar (Malagasy),1896-08-06,1912-07-24,cshapes-2-1
cshape-580-1912-07-25-1946-10-26-429,Madagascar (Malagasy),1912-07-25,1946-10-26,cshapes-2-1
cshape-580-1946-10-27-1960-06-25-430,Madagascar (Malagasy),1946-10-27,1960-06-25,cshapes-2-1
cshape-580-1960-06-26-2023-12-31-431,Madagascar (Malagasy),1960-06-26,2023-12-31,cshapes-2-1
cshape-553-1891-06-10-1953-07-31-402,Malawi,1891-06-10,1953-07-31,cshapes-2-1
cshape-553-1964-01-22-1964-07-05-403,Malawi,1964-01-22,1964-07-05,cshapes-2-1
cshape-553-1964-07-06-2023-12-31-404,Malawi,1964-07-06,2023-12-31,cshapes-2-1
cshape-432-1905-01-01-1913-04-22-229,Mali,1905-01-01,1913-04-22,cshapes-2-1
cshape-432-1913-04-23-1919-02-28-230,Mali,1913-04-23,1919-02-28,cshapes-2-1
cshape-432-1919-03-01-1932-09-04-231,Mali,1919-03-01,1932-09-04,cshapes-2-1
cshape-432-1932-09-05-1944-07-04-232,Mali,1932-09-05,1944-07-04,cshapes-2-1
cshape-432-1944-07-05-1947-01-03-233,Mali,1944-07-05,1947-01-03,cshapes-2-1
cshape-432-1947-01-04-1959-04-03-234,Mali,1947-01-04,1959-04-03,cshapes-2-1
cshape-432-1959-04-04-1960-06-19-235,Mali,1959-04-04,1960-06-19,cshapes-2-1
cshape-432-1960-06-20-1960-09-21-236,Mali,1960-06-20,1960-09-21,cshapes-2-1
cshape-432-1960-09-22-2023-12-31-237,Mali,1960-09-22,2023-12-31,cshapes-2-1
cshape-435-1904-04-08-1904-10-02-244,Mauritania,1904-04-08,1904-10-02,cshapes-2-1
cshape-435-1904-10-03-1912-11-26-245,Mauritania,1904-10-03,1912-11-26,cshapes-2-1
cshape-435-1912-11-27-1913-04-22-246,Mauritania,1912-11-27,1913-04-22,cshapes-2-1
cshape-435-1913-04-23-1920-01-11-247,Mauritania,1913-04-23,1920-01-11,cshapes-2-1
cshape-435-1920-01-12-1944-07-04-248,Mauritania,1920-01-12,1944-07-04,cshapes-2-1
cshape-435-1944-07-05-1960-11-27-249,Mauritania,1944-07-05,1960-11-27,cshapes-2-1
cshape-435-1960-11-28-1975-11-13-250,Mauritania,1960-11-28,1975-11-13,cshapes-2-1
cshape-435-1975-11-14-1979-08-04-251,Mauritania,1975-11-14,1979-08-04,cshapes-2-1
cshape-435-1979-08-05-2023-12-31-252,Mauritania,1979-08-05,2023-12-31,cshapes-2-1
cshape-590-1886-01-01-1968-03-11-435,Mauritius,1886-01-01,1968-03-11,cshapes-2-1
cshape-590-1968-03-12-2023-12-31-436,Mauritius,1968-03-12,2023-12-31,cshapes-2-1
cshape-600-1886-01-01-1902-12-24-437,Morocco,1886-01-01,1902-12-24,cshapes-2-1
cshape-600-1902-12-25-1904-01-01-438,Morocco,1902-12-25,1904-01-01,cshapes-2-1
cshape-600-1904-01-02-1904-10-02-439,Morocco,1904-01-02,1904-10-02,cshapes-2-1
cshape-600-1904-10-03-1912-11-26-440,Morocco,1904-10-03,1912-11-26,cshapes-2-1
cshape-600-1912-11-27-1956-03-01-441,Morocco,1912-11-27,1956-03-01,cshapes-2-1
cshape-600-1956-03-02-1956-04-06-442,Morocco,1956-03-02,1956-04-06,cshapes-2-1
cshape-600-1956-04-07-1958-04-09-443,Morocco,1956-04-07,1958-04-09,cshapes-2-1
cshape-600-1958-04-10-1975-11-13-444,Morocco,1958-04-10,1975-11-13,cshapes-2-1
cshape-600-1975-11-14-1979-08-04-445,Morocco,1975-11-14,1979-08-04,cshapes-2-1
cshape-600-1979-08-05-2023-12-31-446,Morocco,1979-08-05,2023-12-31,cshapes-2-1
cshape-541-1886-01-01-1891-06-10-391,Mozambique,1886-01-01,1891-06-10,cshapes-2-1
cshape-541-1891-06-11-1975-06-24-392,Mozambique,1891-06-11,1975-06-24,cshapes-2-1
cshape-541-1975-06-25-2023-12-31-393,Mozambique,1975-06-25,2023-12-31,cshapes-2-1
cshape-565-1886-01-01-1886-12-29-412,Namibia,1886-01-01,1886-12-29,cshapes-2-1
cshape-565-1886-12-30-1915-08-15-413,Namibia,1886-12-30,1915-08-15,cshapes-2-1
cshape-565-1915-08-16-1920-12-16-414,Namibia,1915-08-16,1920-12-16,cshapes-2-1
cshape-565-1920-12-17-1966-10-26-415,Namibia,1920-12-17,1966-10-26,cshapes-2-1
cshape-565-1966-10-27-1990-03-20-416,Namibia,1966-10-27,1990-03-20,cshapes-2-1
cshape-565-1990-03-21-2023-12-31-417,Namibia,1990-03-21,2023-12-31,cshapes-2-1
cshape-562-1886-01-01-1895-04-22-408,Natal,1886-01-01,1895-04-22,cshapes-2-1
cshape-562-1895-04-23-1910-05-29-409,Natal,1895-04-23,1910-05-29,cshapes-2-1
cshape-436-1905-01-01-1926-12-27-253,Niger,1905-01-01,1926-12-27,cshapes-2-1
cshape-436-1926-12-28-1932-09-04-254,Niger,1926-12-28,1932-09-04,cshapes-2-1
cshape-436-1932-09-05-1947-01-03-255,Niger,1932-09-05,1947-01-03,cshapes-2-1
cshape-436-1947-01-04-1960-08-02-256,Niger,1947-01-04,1960-08-02,cshapes-2-1
cshape-436-1960-08-03-2023-12-31-257,Niger,1960-08-03,2023-12-31,cshapes-2-1
cshape-475-1914-01-01-1960-09-30-305,Nigeria,1914-01-01,1960-09-30,cshapes-2-1
cshape-475-1960-10-01-1961-09-30-306,Nigeria,1960-10-01,1961-09-30,cshapes-2-1
cshape-475-1961-10-01-2023-12-31-307,Nigeria,1961-10-01,2023-12-31,cshapes-2-1
cshape-5518-1900-01-29-1911-08-17-692,Northeastern Rhodesia,1900-01-29,1911-08-17,cshapes-2-1
cshape-4784-1899-01-01-1902-12-31-683,Northern Nigeria,1899-01-01,1902-12-31,cshapes-2-1
cshape-4784-1903-01-01-1904-04-07-684,Northern Nigeria,1903-01-01,1904-04-07,cshapes-2-1
cshape-4784-1904-04-08-1913-12-31-685,Northern Nigeria,1904-04-08,1913-12-31,cshapes-2-1
cshape-5519-1900-01-29-1905-05-29-693,Northwestern Rhodesia,1900-01-29,1905-05-29,cshapes-2-1
cshape-5519-1905-05-30-1911-08-17-694,Northwestern Rhodesia,1905-05-30,1911-08-17,cshapes-2-1
cshape-4782-1886-01-01-1898-12-31-680,Oil Rivers Protectorate,1886-01-01,1898-12-31,cshapes-2-1
cshape-564-1886-01-01-1910-05-29-411,Orange Free State,1886-01-01,1910-05-29,cshapes-2-1
cshape-585-1886-01-01-2023-12-31-434,Reunion,1886-01-01,2023-12-31,cshapes-2-1
cshape-517-1962-07-01-2023-12-31-367,Rwanda,1962-07-01,2023-12-31,cshapes-2-1
cshape-515-1920-06-28-1922-07-19-364,Rwanda-Urundi,1920-06-28,1922-07-19,cshapes-2-1
cshape-515-1922-07-20-1962-06-30-365,Rwanda-Urundi,1922-07-20,1962-06-30,cshapes-2-1
cshape-433-1886-01-01-1959-04-03-238,Senegal,1886-01-01,1959-04-03,cshapes-2-1
cshape-433-1960-06-21-2023-12-31-239,Senegal,1960-06-21,2023-12-31,cshapes-2-1
cshape-451-1886-01-01-1889-08-09-274,Sierra Leone,1886-01-01,1889-08-09,cshapes-2-1
cshape-451-1889-08-10-1895-08-23-275,Sierra Leone,1889-08-10,1895-08-23,cshapes-2-1
cshape-451-1895-08-24-1961-04-26-276,Sierra Leone,1895-08-24,1961-04-26,cshapes-2-1
cshape-451-1961-04-27-2023-12-31-277,Sierra Leone,1961-04-27,2023-12-31,cshapes-2-1
cshape-520-1960-07-01-2023-12-31-368,Somalia,1960-07-01,2023-12-31,cshapes-2-1
cshape-560-1910-05-31-2023-12-31-405,South Africa,1910-05-31,2023-12-31,cshapes-2-1
cshape-626-2011-07-09-2023-12-31-473,South Sudan,2011-07-09,2023-12-31,cshapes-2-1
cshape-4783-1899-01-01-1906-02-15-681,Southern Nigeria,1899-01-01,1906-02-15,cshapes-2-1
cshape-4783-1906-02-16-1913-12-31-682,Southern Nigeria,1906-02-16,1913-12-31,cshapes-2-1
cshape-6021-1956-04-07-1958-04-09-697,Southern zone of Spanish Morocco,1956-04-07,1958-04-09,cshapes-2-1
cshape-602-1912-11-27-1956-04-06-447,Spanish Morocco,1912-11-27,1956-04-06,cshapes-2-1
cshape-609-1958-10-10-1975-11-13-448,Spanish Sahara,1958-10-10,1975-11-13,cshapes-2-1
cshape-610-1886-01-01-1900-06-26-449,Spanish West Africa,1886-01-01,1900-06-26,cshapes-2-1
cshape-610-1900-06-27-1912-11-26-450,Spanish West Africa,1900-06-27,1912-11-26,cshapes-2-1
cshape-610-1912-11-27-1958-10-09-451,Spanish West Africa,1912-11-27,1958-10-09,cshapes-2-1
cshape-625-1899-01-19-1902-05-14-466,Sudan,1899-01-19,1902-05-14,cshapes-2-1
cshape-625-1902-05-15-1910-06-15-467,Sudan,1902-05-15,1910-06-15,cshapes-2-1
cshape-625-1910-06-16-1914-04-20-468,Sudan,1910-06-16,1914-04-20,cshapes-2-1
cshape-625-1914-04-21-1934-07-19-469,Sudan,1914-04-21,1934-07-19,cshapes-2-1
cshape-625-1934-07-20-1955-12-31-470,Sudan,1934-07-20,1955-12-31,cshapes-2-1
cshape-625-1956-01-01-2011-07-08-471,Sudan,1956-01-01,2011-07-08,cshapes-2-1
cshape-625-2011-07-09-2023-12-31-472,Sudan,2011-07-09,2023-12-31,cshapes-2-1
cshape-572-1895-02-21-1902-08-06-424,Swaziland (Eswatini),1895-02-21,1902-08-06,cshapes-2-1
cshape-572-1902-08-07-1968-09-05-425,Swaziland (Eswatini),1902-08-07,1968-09-05,cshapes-2-1
cshape-572-1968-09-06-2023-12-31-426,Swaziland (Eswatini),1968-09-06,2023-12-31,cshapes-2-1
cshape-510-1891-01-01-1916-10-08-354,Tanzania (Tanganyika),1891-01-01,1916-10-08,cshapes-2-1
cshape-510-1916-10-09-1919-06-27-355,Tanzania (Tanganyika),1916-10-09,1919-06-27,cshapes-2-1
cshape-510-1919-06-28-1920-06-27-356,Tanzania (Tanganyika),1919-06-28,1920-06-27,cshapes-2-1
cshape-510-1920-06-28-1922-07-19-357,Tanzania (Tanganyika),1920-06-28,1922-07-19,cshapes-2-1
cshape-510-1922-07-20-1961-12-08-358,Tanzania (Tanganyika),1922-07-20,1961-12-08,cshapes-2-1
cshape-510-1961-12-09-1964-04-25-359,Tanzania (Tanganyika),1961-12-09,1964-04-25,cshapes-2-1
cshape-510-1964-04-26-2023-12-31-360,Tanzania (Tanganyika),1964-04-26,2023-12-31,cshapes-2-1
cshape-461-1922-07-20-1960-04-26-291,Togo,1922-07-20,1960-04-26,cshapes-2-1
cshape-461-1960-04-27-2023-12-31-292,Togo,1960-04-27,2023-12-31,cshapes-2-1
cshape-563-1886-01-01-1910-05-29-410,Transvaal,1886-01-01,1910-05-29,cshapes-2-1
tunisia-1816-1842,Tunisia,1816,1842,cshapes-europe
tunisia-1843-1881,Tunisia,1843,1881,cshapes-europe
tunisia-1886-1955,Tunisia,1886,1955,cshapes-europe
tunisia-1956-2023,Tunisia,1956,2023,cshapes-europe
cshape-500-1894-06-08-1902-05-14-337,Uganda,1894-06-08,1902-05-14,cshapes-2-1
cshape-500-1902-05-15-1910-06-15-338,Uganda,1902-05-15,1910-06-15,cshapes-2-1
cshape-500-1910-06-16-1914-04-20-339,Uganda,1910-06-16,1914-04-20,cshapes-2-1
cshape-500-1914-04-21-1926-09-26-340,Uganda,1914-04-21,1926-09-26,cshapes-2-1
cshape-500-1926-09-27-1962-10-08-341,Uganda,1926-09-27,1962-10-08,cshapes-2-1
cshape-500-1962-10-09-2023-12-31-342,Uganda,1962-10-09,2023-12-31,cshapes-2-1
cshape-551-1911-08-18-1953-07-31-395,Zambia,1911-08-18,1953-07-31,cshapes-2-1
cshape-551-1964-01-22-2023-12-31-396,Zambia,1964-01-22,2023-12-31,cshapes-2-1
cshape-511-1890-07-01-1895-06-30-361,Zanzibar,1890-07-01,1895-06-30,cshapes-2-1
cshape-511-1895-07-01-1963-12-18-362,Zanzibar,1895-07-01,1963-12-18,cshapes-2-1
cshape-511-1963-12-19-1964-04-25-363,Zanzibar,1963-12-19,1964-04-25,cshapes-2-1
cshape-552-1889-01-01-1891-06-10-397,Zimbabwe (Rhodesia),1889-01-01,1891-06-10,cshapes-2-1
cshape-552-1891-06-11-1900-01-28-398,Zimbabwe (Rhodesia),1891-06-11,1900-01-28,cshapes-2-1
cshape-552-1900-01-29-1953-07-31-399,Zimbabwe (Rhodesia),1900-01-29,1953-07-31,cshapes-2-1
cshape-552-1964-01-22-1965-11-10-400,Zimbabwe (Rhodesia),1964-01-22,1965-11-10,cshapes-2-1
cshape-552-1965-11-11-2023-12-31-401,Zimbabwe (Rhodesia),1965-11-11,2023-12-31,cshapes-2-1
